                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 3.3043,                  2.611,                 3.6351,                 4.2038,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.013,                 1.7309,                 3.4879,                 4.1595,                 0.0919,                 0.0009,                 0.0009
                      1,                 3.4209,                 2.3012,                  3.678,                 4.1893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0169,                 1.7321,                 3.4927,                 4.1594,                 0.0829,              0.0018998,              0.0018998
                      2,                 3.2761,                 1.9857,                 3.7953,                   4.19,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0233,                 1.7328,                 3.4934,                 4.1599,               0.073899,              0.0028994,              0.0028994
                      3,                 3.3177,                 2.0819,                 3.6983,                  4.209,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0223,                 1.7337,                 3.4987,                   4.16,               0.064899,              0.0038988,              0.0038988
                      4,                 3.4084,                 2.3054,                 3.7094,                 4.1979,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0251,                 1.7353,                 3.5012,                 4.1608,               0.055898,              0.0048981,              0.0048981
                      5,                 3.3934,                 2.3746,                  3.742,                  4.205,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0258,                 1.7359,                 3.5014,                 4.1608,               0.046897,              0.0058971,              0.0058971
                      6,                 3.3928,                 2.1018,                  3.696,                 4.2177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.027,                 1.7361,                 3.5056,                 4.1602,               0.037896,              0.0068959,              0.0068959
                      7,                 3.4476,                 2.1634,                 3.7011,                 4.2029,              0.0054645,                      1,                0.06206,               0.025518,              0.0038251,                    0.7,                0.01521,              0.0037157,                 3.0267,                 1.7351,                 3.5046,                 4.1599,               0.028895,              0.0078945,              0.0078945
                      8,                 3.2982,                 2.4533,                    3.7,                 4.2486,              0.0052315,                      1,               0.066656,               0.027237,              0.0034005,                   0.65,               0.015259,               0.003853,                 3.0253,                 1.7346,                 3.5052,                 4.1587,               0.019893,               0.008893,               0.008893
                      9,                 3.2448,                 2.0951,                 3.6151,                 4.1933,              0.0053462,                      1,               0.058705,               0.024151,              0.0037423,                    0.7,               0.018632,              0.0052865,                  3.024,                 1.7326,                 3.5042,                 4.1562,               0.010891,              0.0098912,              0.0098912
                     10,                 3.3745,                  2.167,                 3.7694,                  4.239,              0.0052342,                      1,               0.061509,               0.023902,              0.0034023,                   0.65,               0.013104,              0.0040959,                 3.0257,                 1.7308,                 3.5037,                 4.1548,              0.0099901,              0.0099901,              0.0099901
                     11,                 3.4496,                  2.112,                  3.721,                  4.256,              0.0053648,                      1,               0.064833,               0.025367,              0.0032189,                    0.6,               0.012822,              0.0038515,                 3.0235,                 1.7288,                 3.5024,                 4.1524,              0.0099901,              0.0099901,              0.0099901
                     12,                 3.2889,                 1.9075,                 3.7458,                 4.2129,              0.0053548,                      1,               0.061427,               0.025838,              0.0032129,                    0.6,               0.012662,              0.0034604,                 3.0237,                 1.7342,                 3.5027,                 4.1556,              0.0099891,              0.0099891,              0.0099891
                     13,                 3.1785,                 1.9392,                 3.5824,                 4.1942,              0.0053149,                      1,                0.08469,                0.03404,              0.0031889,                    0.6,               0.012276,              0.0025542,                 2.9254,                 2.8528,                 3.5648,                 4.2821,              0.0099881,              0.0099881,              0.0099881
                     14,                 3.4794,                 1.9042,                 3.7097,                 4.2072,              0.0051533,                      1,                0.14774,               0.057999,              0.0020613,                    0.4,              0.0067147,              0.0015158,                 2.8756,                 3.5719,                 3.6717,                  4.508,              0.0099871,              0.0099871,              0.0099871
                     15,                 3.3617,                 1.7757,                 3.6671,                 4.1784,                0.49865,                   0.15,                0.25129,               0.075815,                0.17273,                   0.05,                0.04822,               0.005847,                 2.8037,                 7.4652,                 3.8084,                 4.8331,              0.0099861,              0.0099861,              0.0099861
                     16,                 3.2099,                 1.7507,                 3.6695,                 4.1924,                0.16591,                    0.3,                0.14872,               0.049575,               0.065808,                   0.15,               0.028024,              0.0049214,                 2.9126,                 23.024,                 3.7386,                 5.6577,              0.0099851,              0.0099851,              0.0099851
                     17,                 3.2852,                 1.7318,                 3.6511,                 4.1854,                0.11908,                    0.3,                0.10336,               0.040142,               0.035417,                   0.35,               0.028259,              0.0069327,                 2.8198,                 91.017,                 5.8203,                 6.9269,              0.0099842,              0.0099842,              0.0099842
                     18,                 3.3597,                 1.7111,                 3.6083,                  4.178,                 0.2962,                   0.35,                0.24418,               0.071255,               0.090519,                   0.15,               0.047936,               0.011095,                 2.8832,                 138.14,                  5.293,                 6.4503,              0.0099832,              0.0099832,              0.0099832
                     19,                 3.3525,                 1.6042,                 3.6626,                 4.1849,                0.24415,                    0.3,                0.15601,               0.065961,               0.041374,                   0.15,               0.031313,              0.0071601,                 2.8311,                 86.113,                 4.4152,                 5.8884,              0.0099822,              0.0099822,              0.0099822
                     20,                 3.3249,                 1.5784,                 3.5664,                 4.1617,               0.072348,                   0.25,               0.072829,               0.022766,               0.042559,                   0.05,               0.032463,              0.0064341,                 2.7959,                 39.749,                 3.8054,                 5.5871,              0.0099812,              0.0099812,              0.0099812
                     21,                 3.2968,                 1.5552,                 3.6506,                 4.1481,                0.24777,                    0.1,                0.12819,               0.043438,               0.033783,                   0.05,               0.017913,              0.0034062,                 2.9333,                 24.351,                 3.6506,                 5.0752,              0.0099802,              0.0099802,              0.0099802
                     22,                 3.2736,                 1.5774,                 3.8878,                 4.1499,                0.03562,                    0.1,               0.065349,               0.027408,               0.035555,                   0.35,                0.02659,              0.0038895,                 2.8804,                 4.2689,                 3.8455,                 4.8886,              0.0099792,              0.0099792,              0.0099792
                     23,                 3.3827,                 1.5833,                 4.4772,                 4.1436,               0.020435,                   0.15,               0.020961,              0.0097998,              0.0026783,                    0.8,              0.0061357,              0.0010879,                 2.9469,                 5.3163,                 4.4366,                 4.6677,              0.0099782,              0.0099782,              0.0099782
                     24,                 3.2679,                 1.2819,                 3.4177,                 4.1062,              0.0040145,                      1,               0.088457,               0.036087,               0.003613,                    0.9,               0.034946,              0.0063243,                   2.86,                 4.1314,                 3.4173,                 4.6394,              0.0099772,              0.0099772,              0.0099772
                     25,                 3.3683,                  1.338,                 4.1576,                 4.0983,                0.28265,                    0.1,                0.32222,               0.073501,              0.0017632,                    0.3,              0.0051563,             0.00070061,                 3.8102,                 21.507,                 3.9359,                 8.6977,              0.0099762,              0.0099762,              0.0099762
                     26,                 3.2739,                 1.2128,                 3.5162,                 4.0709,                0.33402,                   0.05,                0.31193,                0.13397,              0.0040104,                      1,                0.22931,               0.082912,                 2.9043,                 2.0111,                 3.2673,                 4.1175,              0.0099753,              0.0099753,              0.0099753
                     27,                 3.2366,                 1.0502,                 3.3461,                 4.0245,              0.0037651,                      1,                0.13304,               0.053398,              0.0037651,                      1,                0.11988,               0.062312,                 2.8432,                 1.0662,                 3.6008,                 4.0305,              0.0099743,              0.0099743,              0.0099743
